gene_id,msn2_log_rep1,msn2_log_rep2,msn2_log_rep3,msn2_24_rep1,msn2_24_rep2,msn2_24_rep3
ETS1-1,2.5,8.0,4.0,73.03,74.88,82.2
ETS1-2,4.17,5.67,4.5,71.35,67.07,66.38
ETS2-1,3.0,1.0,2.5,88.83,115.17,168.33
ETS2-2,278.0,183.0,125.17,13942.67,12203.0,15640.5
HRA1,44.5,59.5,44.5,195.0,216.33,193.0
ICR1,176.83,144.0,129.0,395.0,434.0,386.0
IRT1,215.5,191.33,134.5,365.33,369.5,373.5
ITS1-1,0.0,0.0,0.2,2.31,2.17,1.14
ITS1-2,1.0,1.17,1.2,5.67,4.45,3.08
ITS2-1,0.89,0.14,0.0,3.33,4.4,1.57
ITS2-2,7.89,1.81,5.0,8.89,8.88,5.58
LSR1,497.5,430.83,384.5,694.17,795.83,845.5
NME1,294.0,265.5,187.0,231.5,210.0,277.0
PWR1,33.33,16.0,14.0,79.5,81.5,57.33
Q0010,7.0,3.33,0.5,1.5,8.5,2.0
Q0017,2.0,2.5,0.5,0.5,5.5,0.0
Q0020,1668.0,766.0,443.0,468.0,858.0,732.5
Q0032,1.0,1.0,0.0,0.0,0.0,7.0
Q0045,22669.71,20518.62,15078.81,22464.12,26896.64,32980.01
Q0050,3917.05,3117.67,2298.77,4903.18,6300.82,8408.9
Q0055,6508.28,4864.82,3157.57,8864.72,11155.27,13802.24
Q0060,2976.6,2366.92,1404.92,3170.92,3878.62,4969.59
Q0065,9823.88,9933.29,6087.56,9347.12,11917.3,13719.01
Q0070,11287.88,11185.29,7079.31,10368.12,12424.64,14549.51
Q0075,19130.5,15339.33,12555.5,16529.0,20717.83,25642.5
Q0080,18.0,13.0,6.0,18.0,28.0,29.0
Q0085,420.5,442.5,234.0,517.0,633.5,863.0
Q0092,25.0,22.0,18.0,17.0,28.0,29.0
Q0105,102.25,52.0,58.33,68.58,60.25,68.33
Q0110,117.75,73.5,59.0,53.25,72.25,76.25
Q0115,58.25,83.5,46.33,28.58,43.75,48.58
Q0120,110.25,57.0,52.83,82.08,101.25,130.08
Q0130,10146.0,8757.5,7334.4,7299.5,9395.5,11893.0
Q0140,3849.5,2701.0,2041.0,2819.0,3629.0,4328.0
Q0142,22.5,3.0,11.5,8.0,15.0,11.0
Q0143,13.5,1.0,11.5,1.0,7.0,8.0
Q0144,4.0,7.0,2.0,4.0,9.0,8.0
Q0158,44691.0,34681.5,33529.0,22196.5,30535.0,35750.5
Q0160,17837.0,16098.5,15075.0,10160.0,13943.5,16251.0
Q0182,13.17,12.67,5.75,14.83,23.0,20.5
Q0250,91.0,100.0,53.5,55.0,76.0,91.5
Q0255,36.0,57.0,12.5,15.0,43.5,25.5
Q0275,70.0,62.0,27.0,90.0,86.0,106.0
Q0285,75.5,43.0,36.0,64.83,80.83,96.33
Q0297,73.5,42.0,36.0,60.83,78.33,96.33
RDN18-1,22.98,20.22,14.4,76.22,105.13,82.02
RDN18-2,20.0,18.9,10.0,88.97,109.27,92.52
RDN25-1,43.93,49.83,29.23,93.32,128.35,105.58
RDN25-2,62.25,62.62,38.97,140.98,168.93,167.02
RDN37-1,67.06,70.56,44.03,170.13,234.23,188.55
RDN37-2,100.81,92.39,63.07,246.21,289.73,273.35
RDN5-1,193.5,134.0,95.5,9057.03,7872.95,12050.67
RDN5-2,0.0,0.5,0.0,15.5,10.17,23.17
RDN5-4,0.0,0.0,0.0,0.0,0.0,0.0
RDN5-5,0.0,0.0,0.0,0.0,0.0,0.0
RDN5-6,0.0,0.0,1.0,1.83,2.83,1.0
RDN58-1,0.14,0.71,0.4,0.76,0.95,1.31
RDN58-2,18.89,10.88,14.1,16.26,11.73,13.81
RME2,252.5,187.5,229.5,723.0,719.17,597.58
RME3,277.17,321.83,217.0,415.0,425.08,447.17
RNA170,31.5,12.5,21.0,35.83,60.5,46.5
RPR1,449.67,364.83,336.67,926.0,755.5,1006.5
RUF20,2241.33,2207.83,1548.5,1895.0,2135.33,2171.5
RUF21,1333.83,1662.33,1050.0,725.5,886.67,831.67
RUF22,2.5,3.5,2.0,8.0,8.0,7.0
RUF23,10.5,19.5,18.0,21.0,26.0,24.0
RUF5-1,54.63,59.31,27.63,73.73,73.36,93.37
RUF5-2,85.71,93.23,46.97,176.65,172.11,209.12
SCR1,977.0,823.83,520.5,2311.5,2394.0,2912.33
SRG1,3941.0,3474.0,2676.0,3207.33,3164.5,3591.0
YAL001C,1415.5,1167.0,1118.0,2660.5,3084.5,2562.33
YAL002W,541.0,563.0,431.0,1544.5,1672.0,1498.0
YAL003W,36886.5,32957.0,30125.5,48916.17,49870.17,46775.75
YAL004W,1043.83,699.0,757.0,2267.67,2193.5,1847.0
YAL005C,13482.33,10786.5,9732.0,17247.17,17661.5,14997.0
