gene_id,msn24_log_rep1,msn24_log_rep2,msn24_log_rep3,msn24_24_rep1,msn24_24_rep2,msn24_24_rep3
ETS1-1,2.33,4.0,2.83,20.93,20.67,17.77
ETS1-2,3.0,5.0,2.5,19.53,16.53,16.87
ETS2-1,1.5,1.5,0.5,21.5,17.5,16.0
ETS2-2,86.33,175.17,188.7,2253.5,1417.17,2205.33
HRA1,43.5,62.0,51.0,36.5,21.0,36.33
ICR1,139.92,200.83,157.5,64.33,44.0,50.83
IRT1,142.0,213.5,218.0,63.5,22.33,79.5
ITS1-1,0.5,0.0,0.0,0.0,0.5,1.83
ITS1-2,1.5,0.0,0.0,0.5,1.19,2.07
ITS2-1,0.0,0.43,0.0,1.43,0.79,0.5
ITS2-2,2.83,3.48,3.0,3.14,1.33,1.45
LSR1,303.33,283.5,391.67,201.5,166.0,184.83
NME1,257.0,228.0,208.5,50.5,40.0,51.5
PWR1,12.0,22.5,21.0,11.0,12.5,11.0
Q0010,3.0,3.0,6.0,2.0,1.5,0.0
Q0017,0.0,0.0,2.0,0.0,1.5,0.0
Q0020,486.0,369.0,1351.0,70.0,61.0,38.0
Q0032,0.33,0.0,5.0,0.0,0.0,0.0
Q0045,17729.04,16851.97,16172.21,3578.49,1970.13,1609.13
Q0050,2175.21,2021.17,2406.36,784.0,510.83,223.4
Q0055,3463.36,3409.57,3538.29,1283.0,821.13,442.9
Q0060,1729.16,1661.67,1553.91,441.5,239.63,190.3
Q0065,6961.54,6854.64,6612.37,1464.49,877.63,685.13
Q0070,8398.54,8049.47,7767.21,1618.99,936.13,689.63
Q0075,13457.17,15288.83,13323.0,2963.0,1699.5,1509.5
Q0080,3.0,6.0,7.0,0.0,0.0,2.0
Q0085,269.0,208.5,240.0,72.0,26.0,28.0
Q0092,10.0,2.0,11.0,0.0,4.0,1.0
Q0105,35.08,45.25,48.75,15.25,9.08,5.92
Q0110,54.75,46.25,73.75,9.25,8.25,5.75
Q0115,52.58,27.25,56.25,6.25,1.58,3.42
Q0120,56.08,46.25,68.75,5.25,9.08,12.92
Q0130,5453.0,6259.0,6354.5,1434.5,762.0,608.0
Q0140,2503.0,2642.0,3501.0,367.0,320.0,240.0
Q0142,10.0,9.0,13.5,1.5,0.0,0.0
Q0143,5.0,4.0,7.0,0.5,0.0,0.0
Q0144,2.0,2.0,7.0,0.0,0.0,0.0
Q0158,32520.0,31194.5,30526.0,4319.5,2475.5,1853.0
Q0160,16578.0,17050.0,16287.0,1838.5,973.5,739.0
Q0182,5.67,8.0,11.0,3.5,0.0,0.0
Q0250,51.0,46.5,62.0,8.5,6.0,0.0
Q0255,36.0,27.0,39.0,7.5,2.0,0.0
Q0275,46.0,30.0,53.0,8.0,18.0,6.0
Q0285,36.0,39.5,47.5,14.0,6.0,2.0
Q0297,34.5,39.5,46.5,14.0,6.0,2.0
RDN18-1,16.35,10.85,19.92,94.09,61.74,84.15
RDN18-2,12.67,8.65,19.67,92.81,60.21,85.68
RDN25-1,37.17,32.32,47.85,51.73,29.73,41.3
RDN25-2,42.68,38.47,64.27,59.96,35.72,44.19
RDN37-1,53.52,43.59,68.17,143.56,87.57,121.01
RDN37-2,64.02,54.59,91.17,156.39,98.57,131.59
RDN5-1,111.17,132.0,198.0,1502.5,943.83,1519.17
RDN5-2,0.0,0.0,0.0,1.0,3.83,3.5
RDN5-4,0.0,0.0,0.0,0.0,0.0,0.0
RDN5-5,0.0,0.0,0.0,0.0,0.0,0.0
RDN5-6,0.5,0.0,2.0,0.0,0.0,0.5
RDN58-1,0.0,0.43,0.4,1.62,0.42,0.56
RDN58-2,8.67,7.76,7.4,5.21,3.08,2.51
RME2,200.0,244.58,284.75,109.67,66.5,132.58
RME3,265.33,313.0,245.08,63.83,33.0,70.5
RNA170,18.5,12.0,15.0,8.0,2.5,4.0
RPR1,307.5,251.67,339.33,201.83,143.0,201.0
RUF20,1891.83,2183.25,1595.0,284.5,213.5,280.0
RUF21,1457.5,1468.5,1115.33,163.5,92.0,135.0
RUF22,3.5,4.0,0.0,0.0,0.5,1.0
RUF23,13.0,11.0,14.0,2.0,3.0,7.0
RUF5-1,40.53,47.46,21.67,6.37,4.9,6.08
RUF5-2,69.45,68.8,47.5,15.7,8.57,19.92
SCR1,504.17,550.67,878.0,514.0,452.0,477.0
SRG1,2922.5,3092.5,2201.0,415.5,221.0,350.0
YAL001C,1091.5,1559.5,1567.0,571.0,308.0,587.5
YAL002W,450.0,588.5,640.33,260.5,156.0,268.5
YAL003W,33279.0,39028.0,41371.83,8536.5,5416.0,8569.0
YAL004W,659.0,1026.0,1289.0,272.5,224.0,279.5
YAL005C,10249.5,13834.0,15096.0,2240.5,1525.0,2297.5
YAL007C,5539.5,5704.5,5500.5,1353.0,838.5,1221.0
YAL008W,549.5,462.5,544.5,220.0,143.5,299.0
YAL009W,784.0,1006.0,1058.0,302.0,150.0,318.0
YAL010C,1130.5,1263.0,984.0,257.5,154.5,212.5
YAL011W,648.5,917.5,1097.0,209.0,149.5,228.0
YAL012W,2227.0,2855.0,4095.0,1133.5,788.0,1155.5
YAL013W,332.0,470.5,792.0,223.5,137.0,197.0
YAL014C,473.0,619.5,728.0,192.0,146.5,205.0
