gene_id,WT_log_rep1,WT_log_rep2,WT_log_rep3,WT_24_rep1,WT_24_rep2,WT_24_rep3
ETS1-1,3.58,0.0,0.0,62.82,83.4,113.03
ETS1-2,1.0,4.0,2.5,61.47,78.8,90.03
ETS2-1,1.0,0.5,1.0,87.5,143.67,105.7
ETS2-2,199.83,153.5,210.67,12057.67,18680.17,17666.12
HRA1,71.0,61.0,72.5,113.5,143.5,193.0
ICR1,139.33,129.0,142.33,279.33,337.83,408.5
IRT1,197.0,154.0,164.5,245.5,349.0,333.0
ITS1-1,0.0,0.0,0.0,2.67,4.8,4.33
ITS1-2,0.25,0.0,0.0,3.67,5.47,5.87
ITS2-1,0.0,0.14,0.0,5.67,8.06,5.42
ITS2-2,4.67,2.39,2.0,8.33,10.81,10.37
LSR1,334.0,281.67,279.5,493.0,561.17,522.33
NME1,245.0,249.5,251.5,112.0,164.0,208.0
PWR1,19.0,19.5,18.0,43.5,52.5,71.33
Q0010,5.5,0.0,6.5,3.5,7.0,4.0
Q0017,1.5,0.0,2.5,0.5,2.0,1.0
Q0020,348.0,347.0,293.0,371.0,299.9,208.0
Q0032,0.0,1.0,0.0,0.0,5.0,3.0
Q0045,10560.63,13069.26,11166.12,15179.05,19943.33,19780.63
Q0050,1874.42,1739.86,1571.76,2780.3,3858.15,3700.9
Q0055,2898.97,3138.01,2696.71,4715.85,6528.39,6307.1
Q0060,1321.57,1440.21,1268.06,1784.0,2684.54,2603.01
Q0065,4356.3,5341.26,4676.12,6254.21,8682.16,8496.8
Q0070,4632.13,5852.26,5156.62,6548.21,9010.33,9056.13
Q0075,8321.5,10361.83,9340.5,11104.83,14460.83,14818.17
Q0080,7.0,14.0,5.0,12.0,19.0,16.0
Q0085,247.0,237.0,194.0,409.0,488.0,508.0
Q0092,4.0,17.0,24.0,11.0,9.0,6.0
Q0105,28.75,25.5,16.92,27.42,51.75,35.83
Q0110,46.75,22.0,29.75,30.25,39.75,18.0
Q0115,15.75,23.17,17.42,20.42,26.75,17.83
Q0120,21.25,25.5,20.92,39.42,70.75,70.33
Q0130,5501.0,6950.5,5134.0,5262.0,7726.0,6196.5
Q0140,1619.5,1960.0,1879.0,1295.5,1833.0,1772.5
Q0142,5.0,1.5,5.0,3.0,5.0,6.0
Q0143,2.0,0.5,2.0,0.0,3.0,3.0
Q0144,8.0,3.0,4.0,1.0,3.0,3.0
Q0158,15251.5,19286.5,14640.5,15704.0,21643.83,17491.5
Q0160,6378.5,10987.5,7315.5,6145.33,9239.0,7252.0
Q0182,0.33,9.0,1.67,7.67,14.0,12.0
Q0250,43.5,37.0,42.5,32.0,37.0,10.0
Q0255,13.83,20.0,13.5,9.0,21.0,10.0
Q0275,39.0,36.5,42.0,55.0,54.0,54.0
Q0285,34.0,38.5,33.5,40.5,60.5,40.0
Q0297,34.0,37.5,33.5,40.5,53.5,40.0
RDN18-1,21.27,13.57,16.2,64.95,73.07,73.22
RDN18-2,19.83,10.4,14.0,68.78,85.88,85.28
RDN25-1,40.1,25.95,23.25,92.22,98.47,107.97
RDN25-2,60.28,28.12,32.12,131.38,139.72,147.67
RDN37-1,61.57,39.49,39.45,157.5,172.38,182.02
RDN37-2,89.15,45.91,51.62,204.33,230.76,238.31
RDN5-1,169.0,101.25,120.0,7895.08,9258.83,7696.83
RDN5-2,0.0,0.5,0.0,13.33,36.33,26.0
RDN5-4,0.0,0.0,0.0,0.0,0.0,0.25
RDN5-5,0.0,0.0,0.0,0.0,0.0,0.25
RDN5-6,1.0,0.0,0.0,0.83,0.83,1.0
RDN58-1,0.2,0.14,0.0,0.33,0.84,0.83
RDN58-2,9.37,7.39,5.5,4.17,5.36,5.53
RME2,255.0,255.17,211.17,449.83,538.67,654.75
RME3,293.33,378.0,339.0,339.5,419.83,379.17
RNA170,21.0,11.0,18.0,24.5,27.0,40.5
RPR1,301.5,416.17,307.0,412.0,716.17,572.5
RUF20,1302.0,1732.67,1357.83,1267.25,1844.17,1799.67
RUF21,596.0,1011.5,785.5,504.5,657.33,703.0
RUF22,2.0,0.0,4.0,5.0,6.5,3.0
RUF23,15.5,1.0,6.0,16.5,31.0,31.0
RUF5-1,31.07,58.33,36.85,32.88,53.31,49.93
RUF5-2,60.23,81.41,61.68,84.47,152.64,135.1
SCR1,686.5,674.0,500.33,1281.17,1845.0,1372.67
SRG1,2976.5,4010.0,3149.0,1861.0,2257.5,2502.5
YAL001C,1529.5,913.0,1305.5,2283.5,2700.5,3427.83
YAL002W,561.5,441.5,505.0,1009.5,1267.5,1534.0
YAL003W,33636.0,38059.0,36544.5,31844.83,38958.5,44465.0
YAL004W,1585.0,957.5,1299.0,2458.0,2866.0,3887.75
YAL005C,14274.0,13278.5,13991.5,17965.5,22102.0,27426.08
YAL007C,4668.5,5074.5,4646.5,4769.5,5875.5,6720.5
YAL008W,851.5,649.5,722.5,1599.0,2405.0,2383.5
YAL009W,926.5,760.0,917.0,1186.5,1522.5,1762.0
YAL010C,897.0,948.0,904.0,781.0,1026.0,1277.0
YAL011W,811.0,699.0,724.5,859.0,1083.5,1160.5
YAL012W,2911.0,2753.5,2971.0,3807.0,4499.5,5656.0
YAL013W,576.0,416.5,438.67,938.33,1094.5,1277.5
YAL014C,596.5,584.0,499.0,814.0,1071.5,1247.0
YAL015C,1407.0,1241.0,1242.67,1746.5,2222.0,2430.83
YAL016C-A,173.5,75.5,143.5,362.0,397.0,538.75
YAL016C-B,86.0,117.5,120.5,145.5,147.0,158.0
YAL016W,2335.5,2114.5,2267.17,3784.0,4499.5,5571.25
YAL017W,1254.5,1050.33,1142.0,3148.5,3678.0,4359.17
YAL018C,6.0,5.0,1.0,20.0,38.0,35.0
YAL019W,2766.5,2807.5,3130.0,3433.0,4183.5,4936.5
YAL019W-A,348.33,303.33,242.33,440.5,580.5,540.33
YAL020C,715.33,819.33,670.33,858.5,1252.5,1276.83
YAL021C,614.0,586.0,692.0,1078.0,1334.5,1612.0
